item_id_a,item_id_b,protein_name,protein_desc
CID000002083,9606.ENSP00000394624,OPRM1,"Mu-type opioid receptor; Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell typ [...] "
CID000002083,9606.ENSP00000371927,GPR78,"G-protein coupled receptor 78; Orphan receptor. Displays a significant level of constitutive activity. Its effect is mediated by G(s)-alpha protein that stimulate adenylate cyclase, resulting in an elevation of intracellular cAMP."
CID000002083,9606.ENSP00000423917,NPY5R,Neuropeptide Y receptor type 5; Receptor for neuropeptide Y and peptide YY. The activity of this receptor is mediated by G proteins that inhibit adenylate cyclase activity. Seems to be associated with food intake. Could be involved in feeding disorders.
CID000002083,9606.ENSP00000360255,OPN5,Opsin-5; Opsin 5.
CID000002083,9606.ENSP00000303149,GPR27,Probable G-protein coupled receptor 27; Orphan receptor. Possible candidate for amine-like G-protein coupled receptor.
CID000002083,9606.ENSP00000281806,MCHR2,"Melanin-concentrating hormone receptor 2; Receptor for melanin-concentrating hormone, coupled to G proteins that activate phosphoinositide hydrolysis."
CID000002083,9606.ENSP00000234371,KISS1R,"KiSS-1 receptor; Receptor for metastin (kisspeptin-54 or kp-54), a C- terminally amidated peptide of KiSS1. KiSS1 is a metastasis suppressor protein that suppresses metastases in malignant melanomas and in some breast carcinomas without affecting tumorigenicity. The metastasis suppressor properties may be mediated in part by cell cycle arrest and induction of apoptosis in malignant cells. The receptor is essential for normal gonadotropin-released hormone physiology and for puberty. The hypothalamic KiSS1/KISS1R system is a pivotal factor in central regulation of the gonadotropic axis a [...] "
CID000002083,9606.ENSP00000332591,NPY2R,"Neuropeptide Y receptor type 2; Receptor for neuropeptide Y and peptide YY. The rank order of affinity of this receptor for pancreatic polypeptides is PYY > NPY > PYY (3-36) > NPY (2-36) > [Ile-31, Gln-34] PP > [Leu-31, Pro-34] NPY > PP, [Pro-34] PYY and NPY free acid."
CID000002083,9606.ENSP00000297146,GPR85,Probable G-protein coupled receptor 85; Orphan receptor; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000331600,GPR173,"Probable G-protein coupled receptor 173; Is a receptor for the SMIM20 derived peptides Phoenixin-14 and Phoenixin-20 (By similarity). It mediates the Phoenixin-14 and Phoenixin-20 augmentation of gonadotropin-releasing hormone (GNRH) signaling in the hypothalamus and pituitary gland (By similarity). In the ovary, it mediates the effects of Phoenixin-14 and Phoenixin-20 induced granulosa cell proliferation during follicular growth."
CID000002083,9606.ENSP00000307822,NPFFR2,"Neuropeptide FF receptor 2; Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system."
CID000002083,9606.ENSP00000303775,PROKR1,"Prokineticin receptor 1; Receptor for prokineticin 1. Exclusively coupled to the G(q) subclass of heteromeric G proteins. Activation leads to mobilization of calcium, stimulation of phosphoinositide turnover and activation of p44/p42 mitogen-activated protein kinase. May play a role during early pregnancy."
CID000002083,9606.ENSP00000292301,CCR2,"C-C chemokine receptor type 2; Key functional receptor for CCL2 but can also bind CCL7 and CCL12. Its binding with CCL2 on monocytes and macrophages mediates chemotaxis and migration induction through the activation of the PI3K cascade, the small G protein Rac and lamellipodium protrusion (Probable). Also acts as a receptor for the beta-defensin DEFB106A/DEFB106B. Regulates the expression of T-cell inflammatory cytokines and T-cell differentiation, promoting the differentiation of T-cells into T-helper 17 cells (Th17) during inflammation (By similarity). Facilitates the export of matur [...] "
CID000002083,9606.ENSP00000359643,LPAR3,"Lysophosphatidic acid receptor 3; Receptor for lysophosphatidic acid (LPA), a mediator of diverse cellular activities. May play a role in the development of ovarian cancer. Seems to be coupled to the G(i)/G(o) and G(q) families of heteromeric G proteins."
CID000002083,9606.ENSP00000243673,GPR83,Probable G-protein coupled receptor 83; Orphan receptor. Could be a neuropeptide Y receptor.
CID000002083,9606.ENSP00000443256,LPAR2,"Lysophosphatidic acid receptor 2; Receptor for lysophosphatidic acid (LPA), a mediator of diverse cellular activities. Seems to be coupled to the G(i)/G(o), G(12)/G(13), and G(q) families of heteromeric G proteins. Plays a key role in phospholipase C-beta (PLC-beta) signaling pathway. Stimulates phospholipase C (PLC) activity in a manner that is independent of RALA activation."
CID000002083,9606.ENSP00000296271,RHO,Rhodopsin; Photoreceptor required for image-forming vision at low light intensity. Required for photoreceptor cell viability after birth. Light- induced isomerization of the chromophore 11-cis-retinal to all-trans- retinal triggers a conformational change that activates signaling via G-proteins. Subsequent receptor phosphorylation mediates displacement of the bound G-protein alpha subunit by the arrestin SAG and terminates signaling.
CID000002083,9606.ENSP00000255262,NMUR2,Neuromedin-U receptor 2; Receptor for the neuromedin-U and neuromedin-S neuropeptides. Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000226413,GNRHR,Gonadotropin-releasing hormone receptor; Receptor for gonadotropin releasing hormone (GnRH) that mediates the action of GnRH to stimulate the secretion of the gonadotropic hormones luteinizing hormone (LH) and follicle-stimulating hormone (FSH). This receptor mediates its action by association with G- proteins that activate a phosphatidylinositol-calcium second messenger system. Isoform 2 may act as an inhibitor of GnRH-R signaling.
CID000002083,9606.ENSP00000217270,PROKR2,"Prokineticin receptor 2; Receptor for prokineticin 2. Exclusively coupled to the G(q) subclass of heteromeric G proteins. Activation leads to mobilization of calcium, stimulation of phosphoinositide turnover and activation of p44/p42 mitogen-activated protein kinase."
CID000002083,9606.ENSP00000350256,CCR9,C-C chemokine receptor type 9; Receptor for chemokine SCYA25/TECK. Subsequently transduces a signal by increasing the intracellular calcium ions level. Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000275198,TAAR6,"Trace amine-associated receptor 6; Orphan receptor. Could be a receptor for trace amines. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained speculative. Trace amines are likely to be involved in a variety of physiological functions that have yet to be fully understood."
CID000002083,9606.ENSP00000355512,OPN3,Opsin-3; May play a role in encephalic photoreception; Belongs to the G-protein coupled receptor 1 family. Opsin subfamily.
CID000002083,9606.ENSP00000361141,OPN4,Melanopsin; Photoreceptor required for regulation of circadian rhythm. Contributes to pupillar reflex and other non-image forming responses to light. May be able to isomerize covalently bound all-trans retinal back to 11-cis retinal (By similarity); Belongs to the G-protein coupled receptor 1 family. Opsin subfamily.
CID000002083,9606.ENSP00000366506,HRH2,"Histamine H2 receptor; The H2 subclass of histamine receptors mediates gastric acid secretion. Also appears to regulate gastrointestinal motility and intestinal secretion. Possible role in regulating cell growth and differentiation. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase and, through a separate G protein-dependent mechanism, the phosphoinositide/protein kinase (PKC) signaling pathway (By similarity); Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000369344,GPR150,Probable G-protein coupled receptor 150; Orphan receptor; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000363136,GPR3,"G-protein coupled receptor 3; Orphan receptor with constitutive G(s) signaling activity that activate cyclic AMP. Has a potential role in modulating a number of brain functions, including behavioral responses to stress (By similarity), amyloid-beta peptide generation in neurons and neurite outgrowth (By similarity). Maintains also meiotic arrest in oocytes (By similarity)."
CID000002083,9606.ENSP00000450310,GPR84,"G-protein coupled receptor 84; Receptor for medium-chain free fatty acid (FFA) with carbon chain lengths of C9 to C14. Capric acid (C10:0), undecanoic acid (C11:0) and lauric acid (C12:0) are the most potent agonists. Not activated by short-chain and long-chain saturated and unsaturated FFAs. Activation by medium-chain free fatty acid is coupled to a pertussis toxin sensitive G(i/o) protein pathway. May have important roles in processes from fatty acid metabolism to regulation of the immune system."
CID000002083,9606.ENSP00000363553,LPAR1,"Lysophosphatidic acid receptor 1; Receptor for lysophosphatidic acid (LPA). Plays a role in the reorganization of the actin cytoskeleton, cell migration, differentiation and proliferation, and thereby contributes to the responses to tissue damage and infectious agents. Activates downstream signaling cascades via the G(i)/G(o), G(12)/G(13), and G(q) families of heteromeric G proteins. Signaling inhibits adenylyl cyclase activity and decreases cellular cAMP levels. Signaling triggers an increase of cytoplasmic Ca(2+) levels. Activates RALA; this leads to the activation of phospholipase C [...] "
CID000002083,9606.ENSP00000360538,FFAR4,"Free fatty acid receptor 4; Receptor for medium and long-chain free fatty acids (FFAs). Signals via a G(q)/G(11)-coupled pathway. Acts as a receptor for omega- 3 fatty acids and mediates robust anti-inflammatory effects, particularly in macrophages and fat cells. The anti-inflammatory effects involve inhibition of TAK1 through a beta-arrestin 2 (ARRB2)/TAB1-dependent effect, but independent of the G(q)/G(11)- coupled pathway. Mediates potent insulin sensitizing and antidiabetic effects by repressing macrophage-induced tissue inflammation. May mediate the taste of fatty acids. Mediates  [...] "
CID000002083,9606.ENSP00000292303,CCR5,"C-C chemokine receptor type 5; Receptor for a number of inflammatory CC-chemokines including CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES and subsequently transduces a signal by increasing the intracellular calcium ion level. May play a role in the control of granulocytic lineage proliferation or differentiation."
CID000002083,9606.ENSP00000296140,CCR1,"C-C chemokine receptor type 1; Receptor for a C-C type chemokine. Binds to MIP-1-alpha, MIP- 1-delta, RANTES, and MCP-3 and, less efficiently, to MIP-1-beta or MCP- 1 and subsequently transduces a signal by increasing the intracellular calcium ions level. Responsible for affecting stem cell proliferation."
CID000002083,9606.ENSP00000354859,DRD2,D(2) dopamine receptor; Dopamine receptor whose activity is mediated by G proteins which inhibit adenylyl cyclase; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000441600,CCR3,"C-C chemokine receptor type 3; Receptor for C-C type chemokine. Binds and responds to a variety of chemokines, including CCL11, CCL26, CCL7, CCL13, RANTES(CCL5) and CCL15. Subsequently transduces a signal by increasing the intracellular calcium ions level. In addition acts as a possible functional receptor for NARS1."
CID000002083,9606.ENSP00000332659,CCR4,"C-C chemokine receptor type 4; High affinity receptor for the C-C type chemokines CCL17/TARC, CCL22/MDC and CKLF isoform 1/CKLF1. The activity of this receptor is mediated by G(i) proteins which activate a phosphatidylinositol-calcium second messenger system. Can function as a chemoattractant homing receptor on circulating memory lymphocytes and as a coreceptor for some primary HIV-2 isolates. In the CNS, could mediate hippocampal-neuron survival."
CID000002083,9606.ENSP00000416996,ACKR2,"Atypical chemokine receptor 2; Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines including CCL2, CCL3, CCL3L1, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL17, CCL22, CCL23, CCL24, SCYA2/MCP-1, SCY3/MIP-1-alpha, SCYA5/RANTES and SCYA7/M [...] "
CID000002083,9606.ENSP00000323516,UTS2R,Urotensin-2 receptor; High affinity receptor for urotensin-2 and urotensin-2B. The activity of this receptor is mediated by a G-protein that activate a phosphatidylinositol-calcium second messenger system.
CID000002083,9606.ENSP00000384932,GPR12,G-protein coupled receptor 12; Promotes neurite outgrowth and blocks myelin inhibition in neurons (By similarity). Receptor with constitutive G(s) signaling activity that stimulates cyclic AMP production; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000239032,PRLHR,"Prolactin-releasing peptide receptor; Receptor for prolactin-releasing peptide (PrRP). Implicated in lactation, regulation of food intake and pain-signal processing; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000358783,NPBWR2,"Neuropeptides B/W receptor type 2; Interacts specifically with a number of opioid ligands. Receptor for neuropeptides B and W, which may be involved in neuroendocrine system regulation, food intake and the organization of other signals; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000330284,NPBWR1,"Neuropeptides B/W receptor type 1; Interacts specifically with a number of opioid ligands. Receptor for neuropeptides B and W, which may be involved in neuroendocrine system regulation, food intake and the organization of other signals. Has a higher affinity for neuropeptide B."
CID000002083,9606.ENSP00000406986,GPR6,G-protein coupled receptor 6; Orphan receptor with constitutive G(s) signaling activity that activate cyclic AMP. Promotes neurite outgrowth and blocks myelin inhibition in neurons (By similarity).
CID000002083,9606.ENSP00000308908,GPR148,Probable G-protein coupled receptor 148; Orphan receptor.
CID000002083,9606.ENSP00000358945,OPN1MW2,"Medium-wave-sensitive opsin 2; Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal; Belongs to the G-protein coupled receptor 1 family. Opsin subfamily."
CID000002083,9606.ENSP00000307766,HTR1E,"5-hydroxytryptamine receptor 1E; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various alkaloids and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity."
CID000002083,9606.ENSP00000359793,PTGFR,Prostaglandin F2-alpha receptor; Receptor for prostaglandin F2-alpha (PGF2-alpha). The activity of this receptor is mediated by G proteins which activate a phosphatidylinositol-calcium second messenger system. Initiates luteolysis in the corpus luteum (By similarity). Isoforms 2 to 7 do not bind PGF2-alpha but are proposed to modulate signaling by participating in variant receptor complexes; heterodimers between isoform 1 and isoform 5 are proposed to be a receptor for prostamides including the synthetic analog bimatoprost.
CID000002083,9606.ENSP00000380008,LTB4R,"Leukotriene B4 receptor 1; Receptor for extracellular ATP > UTP and ADP. The activity of this receptor is mediated by G proteins which activate a phosphatidylinositol-calcium second messenger system. May be the cardiac P2Y receptor involved in the regulation of cardiac muscle contraction through modulation of L-type calcium currents. Is a receptor for leukotriene B4, a potent chemoattractant involved in inflammation and immune response; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000329684,GALR2,Galanin receptor type 2; Receptor for the hormone galanin and GALP. Receptor for the hormone spexin-1. The activity of this receptor is mediated by G proteins that activate the phospholipase C/protein kinase C pathway (via G(q)) and that inhibit adenylyl cyclase (via G(i)).
CID000002083,9606.ENSP00000358963,HTR1B,"5-hydroxytryptamine receptor 1B; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for ergot alkaloid derivatives, various anxiolytic and antidepressant drugs and other psychoactive substances, such as lysergic acid diethylamide (LSD). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity. Arrestin family members inhibit signaling via G proteins and medi [...] "
CID000002083,9606.ENSP00000498972,GPR101,Probable G-protein coupled receptor 101; Orphan receptor.
CID000002083,9606.ENSP00000316244,HTR1A,"5-hydroxytryptamine receptor 1A; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various drugs and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. Signaling inhibits adenylate cyclase activity and activates a phosphatidylinositol-calcium second  [...] "
CID000002083,9606.ENSP00000216629,BDKRB1,B1 bradykinin receptor; This is a receptor for bradykinin. Could be a factor in chronic pain and inflammation.
CID000002083,9606.ENSP00000306449,GPR37,"Prosaposin receptor GPR37; Receptor for the neuroprotective and glioprotective factor prosaposin. Ligand binding induces endocytosis, followed by an ERK phosphorylation cascade; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000277942,NPFFR1,"Neuropeptide FF receptor 1; Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system."
CID000002083,9606.ENSP00000363748,HTR1D,"5-hydroxytryptamine receptor 1D; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for ergot alkaloid derivatives, various anxiolytic and antidepressant drugs and other psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity. Regulates the release of 5-hydroxytryptamine in the brain, and thereby affects neural activity. May also pl [...] "
CID000002083,9606.ENSP00000357301,RXFP4,"Relaxin-3 receptor 2; High affinity receptor for INSL5. Also acts as receptor for RLN3/relaxin-3, as well as bradykinin and kallidin. Binding of the ligand inhibit cAMP accumulation; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000358301,ADRB1,Beta-1 adrenergic receptor; Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. This receptor binds epinephrine and norepinephrine with approximately equal affinity. Mediates Ras activation through G(s)-alpha- and cAMP-mediated signaling. Involved in the regulation of sleep/wake behaviors ; Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB1 sub-subfamily.
CID000002083,9606.ENSP00000386884,CXCR4,"C-X-C chemokine receptor type 4; Receptor for the C-X-C chemokine CXCL12/SDF-1 that transduces a signal by increasing intracellular calcium ion levels and enhancing MAPK1/MAPK3 activation. Involved in the AKT signaling cascade. Plays a role in regulation of cell migration, e.g. during wound healing. Acts as a receptor for extracellular ubiquitin; leading to enhanced intracellular calcium ions and reduced cellular cAMP levels. Binds bacterial lipopolysaccharide (LPS) et mediates LPS-induced inflammatory response, including TNF secretion by monocytes. Involved in hematopoiesis and in car [...] "
CID000002083,9606.ENSP00000432456,GPR61,G-protein coupled receptor 61; Orphan G-protein coupled receptor. Constitutively activates the G(s)-alpha/cAMP signaling pathway. Shows a reciprocal regulatory interaction with the melatonin receptor MTNR1B most likely through receptor heteromerization. May be involved in the regulation of food intake and body weight (By similarity).
CID000002083,9606.ENSP00000386069,ADRA2C,Alpha-2C adrenergic receptor; Alpha-2 adrenergic receptors mediate the catecholamine- induced inhibition of adenylate cyclase through the action of G proteins; Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA2C sub-subfamily.
CID000002083,9606.ENSP00000343782,ADRB3,Beta-3 adrenergic receptor; Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta- 3 is involved in the regulation of lipolysis and thermogenesis.
CID000002083,9606.ENSP00000258034,TAAR5,"Trace amine-associated receptor 5; Olfactory receptor specific for trimethylamine, a trace amine. Also activated at lower level by dimethylethylamine. Trimethylamine is a bacterial metabolite found in some animal odors, and to humans it is a repulsive odor associated with bad breath and spoiled food. This receptor is probably mediated by the G(s)-class of G-proteins which activate adenylate cyclase."
CID000002083,9606.ENSP00000275216,TAAR1,"Trace amine-associated receptor 1; Receptor for trace amines, including beta-phenylethylamine (b-PEA), p-tyramine (p-TYR), octopamine and tryptamine, with highest affinity for b-PEA and p-TYR. Unresponsive to classical biogenic amines, such as epinephrine and histamine and only partially activated by dopamine and serotonin. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained spe [...] "
CID000002083,9606.ENSP00000378548,GPR135,G-protein coupled receptor 135; Orphan receptor. Has spontaneous activity for beta-arrestin recruitment. Shows a reciprocal regulatory interaction with the melatonin receptor MTNR1B most likely through receptor heteromerization.
CID000002083,9606.ENSP00000258042,NMBR,Neuromedin-B receptor; Receptor for neuromedin-B.
CID000002083,9606.ENSP00000363431,NPY4R,Neuropeptide Y receptor Y4.
CID000002083,9606.ENSP00000287907,HTR5A,"5-hydroxytryptamine receptor 5A; This is one of the several different receptors for 5- hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. The activity of this receptor is mediated by G proteins; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000289753,HTR6,"5-hydroxytryptamine receptor 6; This is one of the several different receptors for 5- hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. The activity of this receptor is mediated by G proteins that stimulate adenylate cyclase. It has a high affinity for tricyclic psychotropic drugs (By similarity). Controls pyramidal neurons migration during corticogenesis, through the regulation of CDK5 activity (By similarity). Is an activator of TOR signaling."
CID000002083,9606.ENSP00000337949,HTR7,"5-hydroxytryptamine receptor 7; This is one of the several different receptors for 5- hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. The activity of this receptor is mediated by G proteins that stimulate adenylate cyclase."
CID000002083,9606.ENSP00000360973,AGTR2,Type-2 angiotensin II receptor; Receptor for angiotensin II. Cooperates with MTUS1 to inhibit ERK2 activation and cell proliferation.
CID000002083,9606.ENSP00000475344,APLNR,"Apelin receptor; Receptor for apelin receptor early endogenous ligand (APELA) and apelin (APLN) hormones coupled to G proteins that inhibit adenylate cyclase activity. Plays a key role in early development such as gastrulation, blood vessels formation and heart morphogenesis by acting as a receptor for APELA hormone (By similarity). May promote angioblast migration toward the embryonic midline, i.e. the position of the future vessel formation, during vasculogenesis (By similarity). Promotes sinus venosus (SV)-derived endothelial cells migration into the developing heart to promote coro [...] "
CID000002083,9606.ENSP00000398832,AGTR1,Type-1 angiotensin II receptor; Receptor for angiotensin II. Mediates its action by association with G proteins that activate a phosphatidylinositol- calcium second messenger system.
CID000002083,9606.ENSP00000299727,GALR1,Galanin receptor type 1; Receptor for the hormone galanin. The activity of this receptor is mediated by G proteins that inhibit adenylate cyclase activity; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000356658,GPR52,"G-protein coupled receptor 52; Gs-coupled receptor activated by antipsychotics reserpine leading to an increase in intracellular cAMP and its internalization. May play a role in locomotor activity through modulation of dopamine, NMDA and ADORA2A-induced locomotor activity. These behavioral changes are accompanied by modulation of the dopamine receptor signaling pathway in striatum. Modulates HTT level via cAMP-dependent but PKA independent mechanisms throught activation of RAB39B that translocates HTT to the endoplasmic reticulum, thus avoiding proteasome degradation."
CID000002083,9606.ENSP00000324270,OXTR,Oxytocin receptor; Receptor for oxytocin. The activity of this receptor is mediated by G proteins which activate a phosphatidylinositol-calcium second messenger system; Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily.
CID000002083,9606.ENSP00000272928,ACKR3,"Atypical chemokine receptor 3; Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines CXCL11 and CXCL12/SDF1. Chemokine binding does not activate G-protein- mediated signal transduction but instead induces beta-arrestin recruitment, lead [...] "
CID000002083,9606.ENSP00000319250,GPR62,G-protein coupled receptor 62; Orphan G-protein coupled receptor. Constitutively activates the G(q/11)/inositol phosphate and the G(s)-alpha/cAMP signaling pathways. Has spontaneous activity for beta-arrestin recruitment. Shows a reciprocal modulation of signaling functions with the melatonin receptor MTNR1B most likely through receptor heteromerization.
CID000002083,9606.ENSP00000267549,GPR65,Psychosine receptor; Receptor for the glycosphingolipid psychosine (PSY) and several related glycosphingolipids. Plays a role in immune response by maintaining lysosome function and supporting phagocytosis-mediated intracellular bacteria clearance. May have a role in activation-induced cell death or differentiation of T-cells (By similarity).
CID000002083,9606.ENSP00000451605,MC1R,"Melanocyte-stimulating hormone receptor; Receptor for MSH (alpha, beta and gamma) and ACTH. The activity of this receptor is mediated by G proteins which activate adenylate cyclase; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000377948,QRFPR,Pyroglutamylated RF-amide peptide receptor; Receptor for the orexigenic neuropeptide QRFP. The activity of this receptor is mediated by G proteins that modulate adenylate cyclase activity and intracellular calcium levels.
